farmer_id,crop_class_name,association,camp_name,district_name,region_name,number_seasons,agroecological_zone,initial_down_payment_value,package_cash_repayment,package_in_kind_repayment,package_hectares,fertilizer,fungicide,gypsum,inoculant,insecticide,lime,seed_guard,grade_a_price,grade_b_price,grade_c_price,total_weight,grade_a_weight,grade_b_weight,grade_c_weight,total_net_weight,grade_a_cash_value,grade_b_cash_value,grade_c_cash_value
18833,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,200.0,0,200,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12,12,12,200,200,0,0,0,0,0,0
18834,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,200.0,0,200,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12,12,12,550,550,0,0,350,4375,0,0
18835,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,12,12,12,50,50,0,0,0,0,0,0
18836,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,200.0,0,200,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11,11,11,50,50,0,0,0,0,0,0
18836,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,200.0,0,200,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12,12,12,50,50,0,0,0,0,0,0
18837,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,400.0,0,400,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,12,12,12,400,400,0,0,0,0,0,0
18838,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,12,12,12,250,250,0,0,150,1875,0,0
18839,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,12,12,12,100,100,0,0,0,0,0,0
18840,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,10,10,10,100,100,0,0,0,0,0,0
18841,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,200.0,0,200,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,10,10,200,200,0,0,0,0,0,0
18842,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,11,11,11,100,100,0,0,0,0,0,0
18843,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,500.0,0,500,2.5,0.0,2.5,0.0,2.5,0.0,0.0,0.0,11,11,11,564,564,0,0,64,704,0,0
18844,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,2,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,12,12,12,50,50,0,0,0,0,0,0
18845,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,100.0,0,100,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,11,4,4,0,0,0,0,0,0
18845,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,100.0,0,100,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,12,12,96,96,0,0,0,0,0,0
18846,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,100.0,0,100,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,11,100,100,0,0,0,0,0,0
18847,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,100.0,0,100,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,11,100,100,0,0,0,0,0,0
18848,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,200.0,0,250,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,11,139,139,0,0,0,0,0,0
18848,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,200.0,0,250,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,12,12,111,111,0,0,61,762,0,0
18849,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,12,12,12,250,250,0,0,150,1875,0,0
18850,Soy Bean,GNA Farmer,Kasenengwa,Kasenengwa,Kasenengwa,3,IIa,200.0,0,210,1.25,0.0,1.0,0.0,1.0,0.0,0.0,0.0,15,14,12,1434,1434,0,0,1224,18360,0,0
18851,Soy Bean,GNA Farmer,Kasenengwa,Kasenengwa,Kasenengwa,4,IIa,100.0,0,120,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,15,14,12,1016,1016,0,0,896,13440,0,0
18852,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,12,12,12,1202,1202,0,0,1102,13775,0,0
18855,Sugar bean,GNA Farmer,Kavumbo,Senga Hill,Northern,1,III,650.0,0,50,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,30,27,25,50,50,0,0,0,0,0,0
18856,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,200.0,0,200,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11,11,11,200,200,0,0,0,0,0,0
18857,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,300.0,0,350,2.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,10,10,10,100,100,0,0,0,0,0,0
18857,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,300.0,0,350,2.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,11,11,11,61,61,0,0,0,0,0,0
18858,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,100.0,0,150,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,119,119,0,0,0,0,0,0
18859,Soy Bean,GNA Farmer,Mpula 1,Mpula 1,Kapiri,1,IIa,400.0,0,400,2.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,10,10,10,100,100,0,0,0,0,0,0
18861,Soy Bean,GNA Farmer,Kwenje A,Kasenengwa,Kasenengwa,1,IIa,100.0,0,125,0.75,0.0,0.5,0.0,0.5,0.0,0.0,0.0,17,15,14,493,493,0,0,368,6256,0,0
18873,Sugar bean,GNA Farmer,Lunte C,Lunte,Northern,1,III,2600.0,0,200,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25,22,22,850,550,300,0,650,8750,6600,0
18874,Soy Bean,GNA Farmer,Mumbwa central,Mumbwa,Mumbwa,1,IIa,200.0,0,200,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12,12,12,734,734,0,0,534,6675,0,0
18876,Soy Bean,GNA Farmer,Mumbwa central,Mumbwa,Mumbwa,1,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,12,12,12,1130,1130,0,0,1030,12713,0,0
18877,Soy Bean,GNA Farmer,Mumbwa central,Mumbwa,Mumbwa,1,IIa,200.0,0,200,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,10,10,104,104,0,0,8,80,0,0
18877,Soy Bean,GNA Farmer,Mumbwa central,Mumbwa,Mumbwa,1,IIa,200.0,0,200,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12,12,12,104,104,0,0,0,0,0,0
18878,Soy Bean,GNA Farmer,Mumbwa North,Mumbwa,Mumbwa,1,IIa,300.0,0,300,1.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,12,12,12,382,382,0,0,82,1025,0,0
18879,Soy Bean,GNA Farmer,Mumbwa central,Mumbwa,Mumbwa,1,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,12,12,12,1084,1084,0,0,984,12299,0,0
18880,Soy Bean,GNA Farmer,Mumbwa central,Mumbwa,Mumbwa,1,IIa,100.0,0,100,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,12,12,12,828,828,0,0,728,9099,0,0
18881,Soy Bean,GNA Farmer,Mumbwa central,Mumbwa,Mumbwa,1,IIa,200.0,0,200,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12,12,12,1113,1113,0,0,913,11412,0,0
